#,Name,Year,DaysFromSeroconversion,SequenceLength,Organism
0,1983.-.8888.HXB2-LAI-IIIB-BRU,1983,NA,NA,HIV-1
9,ZM634F_30Jun2010_CP_9_E,2010,1072,3539,HIV-1
10,ZM634F_11Jun2008_1Y_13_E,2008,323,3506,HIV-1
11,ZM634F_11Jun2008_1Y_15_E,2008,323,3506,HIV-1
12,ZM634F_11Jun2008_1Y_16_E,2008,323,3503,HIV-1
13,ZM634F_11Jun2008_1Y_17_E,2008,323,3503,HIV-1
14,ZM634F_11Jun2008_1Y_18_E,2008,323,3506,HIV-1
15,ZM634F_11Jun2008_1Y_19_E,2008,323,3506,HIV-1
16,ZM634F_11Jun2008_1Y_22_E,2008,323,3506,HIV-1
17,ZM634F_11Jun2008_1Y_26_E,2008,323,3506,HIV-1
18,ZM634F_11Jun2008_1Y_28_E,2008,323,3506,HIV-1
19,ZM634F_11Jun2008_1Y_30_E,2008,323,3530,HIV-1
20,ZM634F_18May2011_1A_10_E,2011,1394,3527,HIV-1
21,ZM634F_11Jan2012_2A_14_E,2012,1632,3575,HIV-1
22,ZM634F_18May2011_1A_12_E,2011,1394,3488,HIV-1
23,ZM634F_18May2011_1A_2_E,2011,1394,3479,HIV-1
24,ZM634F_11Jun2008_1Y_23_E,2008,323,3506,HIV-1
25,ZM634F_18May2011_1A_18_E,2011,1394,3554,HIV-1
26,ZM634F_30Jun2010_CP_7_E,2010,1072,3542,HIV-1
27,ZM634F_11Jan2012_2A_11_E.HY,2012,1632,3527,HIV-1
28,ZM634F_11Jan2012_2A_12_E,2012,1632,3554,HIV-1
29,ZM634F_11Jan2012_2A_4_E,2012,1632,3542,HIV-1
30,ZM634F_11Jun2008_1Y_10_E,2008,323,3410,HIV-1
31,ZM634F_11Jun2008_1Y_14_E,2008,323,3503,HIV-1
32,ZM634F_11Jun2008_1Y_1_E,2008,323,3503,HIV-1
33,ZM634F_11Jun2008_1Y_21_E,2008,323,3491,HIV-1
34,ZM634F_11Jun2008_1Y_25_E,2008,323,3506,HIV-1
35,ZM634F_11Jun2008_1Y_33_E,2008,323,3503,HIV-1
36,ZM634F_11Jun2008_1Y_9_E,2008,323,3506,HIV-1
37,ZM634F_18May2011_1A_15_E,2011,1394,3536,HIV-1
38,ZM634F_18May2011_1A_19_E,2011,1394,3527,HIV-1
39,ZM634F_18May2011_1A_5_E.HY,2011,1394,3554,HIV-1
40,ZM634F_30Jun2010_CP_14_E,2010,1072,3521,HIV-1
41,ZM634F_30Jun2010_CP_21_E,2010,1072,3548,HIV-1
42,ZM634F_30Jun2010_CP_22_E,2010,1072,3524,HIV-1
43,ZM634F_30Jun2010_CP_25_E,2010,1072,3524,HIV-1
44,ZM634F_30Jun2010_CP_5_E,2010,1072,3521,HIV-1
45,ZM634F_18May2011_1A_22_E,2011,1394,3497,HIV-1
46,ZM634F_18May2011_1A_23_E,2011,1394,3539,HIV-1
47,ZM634F_18May2011_1A_26_E,2011,1394,3533,HIV-1
48,ZM634F_18May2011_1A_3_E,2011,1394,3539,HIV-1
49,ZM634F_18May2011_1A_4_E,2011,1394,3542,HIV-1
50,ZM634F_18May2011_1A_6_E.HY,2011,1394,3542,HIV-1
51,ZM634F_30Jun2010_CP_11_E,2010,1072,3542,HIV-1
52,ZM634F_30Jun2010_CP_15_E,2010,1072,3542,HIV-1
53,ZM634F_30Jun2010_CP_16_E,2010,1072,3539,HIV-1
54,ZM634F_30Jun2010_CP_17_E,2010,1072,3539,HIV-1
55,ZM634F_30Jun2010_CP_19_E,2010,1072,3539,HIV-1
56,ZM634F_30Jun2010_CP_1_E,2010,1072,3542,HIV-1
57,ZM634F_30Jun2010_CP_20_E,2010,1072,3539,HIV-1
58,ZM634F_30Jun2010_CP_23_E,2010,1072,3542,HIV-1
59,ZM634F_30Jun2010_CP_24_E,2010,1072,3545,HIV-1
60,ZM634F_30Jun2010_CP_2_E,2010,1072,3539,HIV-1
61,ZM634F_30Jun2010_CP_3_E,2010,1072,3542,HIV-1
62,ZM634F_30Jun2010_CP_4_E,2010,1072,3548,HIV-1
63,ZM634F_30Jun2010_CP_6_E,2010,1072,3539,HIV-1
64,ZM634F_30Jun2010_CP_8_E,2010,1072,3542,HIV-1
65,ZM634F_11Jun2008_1Y_20_E,2008,323,3491,HIV-1
66,ZM634F_11Jun2008_1Y_24_E,2008,323,3503,HIV-1
67,ZM634F_11Jun2008_1Y_27_E,2008,323,3503,HIV-1
68,ZM634F_11Jun2008_1Y_29_E,2008,323,3503,HIV-1
69,ZM634F_11Jun2008_1Y_2_E,2008,323,3503,HIV-1
70,ZM634F_11Jun2008_1Y_31_E,2008,323,3506,HIV-1
71,ZM634F_11Jun2008_1Y_32_E,2008,323,3500,HIV-1
72,ZM634F_11Jun2008_1Y_34_E,2008,323,3503,HIV-1
73,ZM634F_11Jun2008_1Y_3_E,2008,323,3491,HIV-1
74,ZM634F_11Jun2008_1Y_4_E,2008,323,3503,HIV-1
75,ZM634F_11Jun2008_1Y_5_E,2008,323,3503,HIV-1
76,ZM634F_11Jun2008_1Y_6_E,2008,323,3503,HIV-1
77,ZM634F_11Jun2008_1Y_7_E,2008,323,3494,HIV-1
78,ZM634F_11Jun2008_1Y_8_E,2008,323,3503,HIV-1
79,ZM634F_18May2011_1A_14_E,2011,1394,3545,HIV-1
80,ZM634F_18May2011_1A_16_E,2011,1394,3542,HIV-1
81,ZM634F_18May2011_1A_17_E,2011,1394,3560,HIV-1
82,ZM634F_18May2011_1A_1_E,2011,1394,3548,HIV-1
83,ZM634F_18May2011_1A_24_E,2011,1394,3578,HIV-1
84,ZM634F_18May2011_1A_27_E,2011,1394,3572,HIV-1
85,ZM634F_18May2011_1A_7_E,2011,1394,3575,HIV-1
86,ZM634F_18May2011_1A_8_E,2011,1394,3554,HIV-1
87,ZM634F_18May2011_1A_9_E,2011,1394,3575,HIV-1
88,ZM634F_11Jan2012_2A_13_E,2012,1632,3542,HIV-1
89,ZM634F_11Jan2012_2A_15_E.HY,2012,1632,3542,HIV-1
90,ZM634F_11Jan2012_2A_16_E,2012,1632,3545,HIV-1
91,ZM634F_11Jan2012_2A_17_E,2012,1632,3536,HIV-1
92,ZM634F_11Jan2012_2A_18_E,2012,1632,3557,HIV-1
93,ZM634F_11Jan2012_2A_2_E.HY,2012,1632,3479,HIV-1
94,ZM634F_11Jan2012_2A_3_E,2012,1632,3545,HIV-1
95,ZM634F_11Jan2012_2A_7_E,2012,1632,3542,HIV-1
96,ZM634F_11Jan2012_2A_8_E,2012,1632,3545,HIV-1
97,ZM634F_11Jan2012_2A_9_E,2012,1632,3539,HIV-1
98,ZM634F_11Jun2008_1Y_11_E,2008,323,3506,HIV-1
99,ZM634F_11Jun2008_1Y_12_E,2008,323,3503,HIV-1
